user_id,Studio_User,inactive_days
obaidsamadian,true,47
petertornstrand,true,60
alissonbh,true,38
jblomsma,true,52
yuanlc,true,33
aerovie,true,60
stevec,true,41
jesseglascock,true,59
danco,true,33
120388059,true,41
markllagos,true,52
sabinal,true,49
freddy34,true,59
andreaomizzolo,true,45
alessandro9926,true,45
yuzhen233,true,47
zhiquany,true,45
ps19940428,true,55
672013807,true,60
mehdipoyo,true,55
siltech,true,34
lergp,true,52
kissclass,true,32
cassioandro,true,39
yangqing2017,true,34
bennyhuang,true,45
debender007,true,51
martinaftrl,true,45
capelup,true,43
wendytsai,true,40
zzzzx11,true,46
xiaoyuan1225,true,31
albertpyyang,true,41
mrcgntw,true,46
sebastian98,true,53
nageldis,true,55
einare,true,34
nusvar,true,40
g072fb,true,39
amugi,true,53
1071282346,true,55
thiva01,true,46
manutoo,true,37
valgeomoby,true,37
eliezer1993,true,34
hindacht,true,41
georgesasi77,true,35
michael657847,true,52
snyaty,true,36
reginwintherpoulsen,true,47
saeed-dehghani,true,41
piasecka,true,38
hlandman,true,47
alice12345,true,31
leiasena,true,31
evainsail,true,54
jgernpointivo,true,53
mickeyq,true,30
ac-0636,true,46
printologist,true,35
cbergerman1515,true,60
cozstar,true,33
successfulme555,true,39
micael70,true,32
nprasath007,true,33
gigi80,true,46
groundsleuth,true,37
jameslabadorf,true,38
orbitalsystems,true,53
18027177,true,57
augst6,true,44
giocarrats,true,45
michelangeloxs,true,35
supercharlie,true,58
gskang9,true,56
giovanna-barcellos99,true,56
gisdepartment,true,52
martinsamoylov,true,40
ardonjl,true,57
amope,true,33
olagoke,true,47
hux1649,true,54
mpedrosa,true,37
timothysiatiga,true,41
13147174200,true,39
luaoliveira,true,38
kz2ndhigh,true,30
darkkrayat,true,34
foodoko,true,54
dklaussen,true,44
edoli,true,39
humingzhi,true,58
sairablair,true,58
dangnttam,true,36
schoolstories,true,55
spritepetrovich,true,45
andersonlago,true,39
oswind,true,32
schahramnouri,true,38
darixgecchele,true,38
hatimbinaziz,true,54
mdba,true,38
2338746118,true,43
deadcalf,true,51
jellevanderheijden,true,49
brianlag,true,40
lijingyng,true,58
ryankanno,true,58
wuxiaohui,true,48
bizkot,true,32
tippedframe,true,38
offmehtab,true,32
devhare,true,34
kevinconvery,true,31
akshaisankar,true,43
lunddennis,true,42
fia233,true,51
alecastello,true,47
623207,true,46
azizou96,true,41
julio67,true,47
jingshan1010,true,46
mandar245,true,54
kubichekr,true,44
rpaulson,true,41
anastasiaalsin,true,53
elmakebabi,true,31
dffds,true,57
thehrenfeld,true,57
kombuchery,true,55
jmd1951,true,48
jaygreatyup,true,42
nautiyal-vinayak,true,42
zoncar,true,32
littleforever,true,51
hubskout,true,56
yashwanth79,true,48
